"CAL1","CAL2","CAL3","CAL4"
0.469999999999999,0.329999999999998,0.179999999999993,0.170000000000002
0.469999999999999,0.329999999999998,0.179999999999993,0.170000000000002
0.509999999999991,0.359999999999999,0.170000000000002,0.150000000000006
0.549999999999997,0.430000000000007,0.189999999999998,0.159999999999997
0.63000000000001,0.519999999999996,0.280000000000001,0.200000000000003
0.640000000000001,0.590000000000003,0.310000000000002,0.219999999999999
0.709999999999994,0.730000000000004,0.400000000000006,0.22999999999999
0.939999999999998,0.859999999999999,0.429999999999993,0.260000000000005
1.06,0.710000000000008,0.390000000000001,0.280000000000001
0.890000000000001,0.620000000000005,0.349999999999994,0.279999999999987
1.23999999999999,0.830000000000013,0.400000000000006,0.289999999999992
1.43000000000001,0.930000000000007,0.469999999999999,0.370000000000005
1.67999999999999,0.920000000000002,0.5,0.38000000000001
0.399999999999991,0.890000000000001,0.489999999999995,0.379999999999995
1.94999999999999,0.760000000000005,0.489999999999995,0.340000000000003
1.94,0.780000000000001,0.5,0.329999999999998
1.92,0.769999999999996,0.449999999999989,0.290000000000006
2.27,0.86999999999999,0.480000000000004,0.299999999999997
2.56,0.990000000000009,0.539999999999992,0.359999999999999
2.45,0.899999999999991,0.510000000000005,0.329999999999998
2.08,0.739999999999995,0.440000000000012,0.27000000000001
2.20999999999999,0.72999999999999,0.399999999999991,0.239999999999995
2.96000000000001,0.900000000000006,0.450000000000003,0.25
3.02000000000001,0.890000000000001,0.490000000000009,0.27000000000001
3.02,0.909999999999997,0.540000000000006,0.320000000000007
3.07000000000001,0.900000000000006,0.490000000000009,0.290000000000006
3.40000000000001,1,0.629999999999995,0.359999999999999
3.72,1,0.629999999999995,0.349999999999994
3.84999999999999,1.08999999999999,0.670000000000002,0.379999999999995
4.5,1.19,0.689999999999998,0.390000000000001
4.58999999999999,1.27,0.710000000000008,0.390000000000001
3.82000000000001,1.31,0.670000000000002,0.400000000000006
3.14,1.11,0.609999999999999,0.390000000000001
3.29000000000001,1.09,0.599999999999994,0.390000000000001
2.61,0.920000000000002,0.579999999999998,0.349999999999994
2.78999999999999,0.830000000000013,0.589999999999989,0.350000000000009
1.63,0.799999999999997,0.560000000000002,0.36999999999999
1.41000000000001,0.739999999999995,0.589999999999989,0.370000000000005
1.34999999999999,0.719999999999999,0.620000000000005,0.379999999999995
1.03,0.659999999999997,0.590000000000003,0.359999999999999
1.07000000000001,0.680000000000007,0.620000000000005,0.36999999999999
1.19,0.759999999999991,0.659999999999997,0.409999999999997
1.19,0.759999999999991,0.659999999999997,0.409999999999997
1.32000000000001,0.809999999999988,0.700000000000003,0.449999999999989
1.64,0.909999999999997,0.709999999999994,0.489999999999995
1.44,0.879999999999995,0.740000000000009,0.509999999999991
1.28999999999999,0.870000000000005,0.739999999999995,0.52000000000001
1.33,0.930000000000007,0.75,0.559999999999988
1.07000000000001,0.799999999999997,0.689999999999998,0.52000000000001
1.06,0.700000000000003,0.559999999999988,0.459999999999994
1.2,0.719999999999999,0.579999999999998,0.420000000000002
1.56,0.849999999999994,0.590000000000003,0.450000000000003
1.16,0.77000000000001,0.569999999999993,0.409999999999997
0.969999999999999,0.710000000000008,0.519999999999996,0.359999999999999
1.05,0.700000000000003,0.510000000000005,0.349999999999994
1.25,0.86999999999999,0.549999999999997,0.370000000000005
1.08,0.739999999999995,0.570000000000007,0.359999999999999
0.790000000000006,0.72999999999999,0.560000000000002,0.370000000000005
0.640000000000001,0.700000000000003,0.549999999999997,0.38000000000001
0.680000000000007,0.629999999999995,0.400000000000006,0.36999999999999
0.640000000000001,0.530000000000001,0.379999999999995,0.339999999999989
0.570000000000007,0.47999999999999,0.36999999999999,0.319999999999993
0.650000000000006,0.560000000000002,0.38000000000001,0.329999999999998
0.629999999999995,0.510000000000005,0.379999999999995,0.319999999999993
0.530000000000001,0.450000000000003,0.359999999999999,0.299999999999997
0.509999999999991,0.519999999999996,0.390000000000001,0.340000000000003
0.459999999999994,0.530000000000001,0.400000000000006,0.350000000000009
0.459999999999994,0.530000000000001,0.400000000000006,0.350000000000009
0.530000000000001,0.609999999999999,0.469999999999999,0.400000000000006
0.570000000000007,0.609999999999999,0.47999999999999,0.400000000000006
0.590000000000003,0.620000000000005,0.47999999999999,0.409999999999997
0.539999999999992,0.550000000000011,0.469999999999999,0.370000000000005
0.489999999999995,0.549999999999997,0.490000000000009,0.379999999999995
0.439999999999998,0.549999999999997,0.5,0.38000000000001
0.409999999999997,0.5,0.5,0.370000000000005
0.390000000000001,0.530000000000001,0.469999999999999,0.370000000000005
0.36999999999999,0.560000000000002,0.460000000000008,0.38000000000001
0.359999999999999,0.529999999999987,0.430000000000007,0.370000000000005
0.140000000000001,0.469999999999999,0.400000000000006,0.350000000000009
0.439999999999998,0.530000000000001,0.409999999999997,0.390000000000001
0.340000000000003,0.449999999999989,0.36999999999999,0.349999999999994
0.359999999999999,0.480000000000004,0.370000000000005,0.359999999999999
0.390000000000001,0.489999999999995,0.420000000000002,0.370000000000005
0.400000000000006,0.5,0.449999999999989,0.400000000000006
0.450000000000003,0.560000000000002,0.5,0.430000000000007
0.469999999999999,0.559999999999988,0.510000000000005,0.450000000000003
0.439999999999998,0.560000000000002,0.489999999999995,0.430000000000007
0.420000000000002,0.519999999999996,0.439999999999998,0.390000000000001
0.439999999999998,0.519999999999996,0.410000000000011,0.350000000000009
0.439999999999998,0.52000000000001,0.430000000000007,0.340000000000003
0.439999999999998,0.530000000000001,0.429999999999993,0.329999999999998
0.480000000000004,0.579999999999998,0.5,0.390000000000001
